sentence,emotion
The foul odor from the garbage made me scrunch up my nose in revulsion.,disgust
The sight of the wriggling maggots made her skin crawl and her stomach churn with unease.,repelled
I'm not quite sure if I'm ready to commit to this decision just yet.,hesitant
The sight and smell of the rotting garbage made my stomach churn and my head swim with discomfort.,nauseated
The sight before me sent a wave of shock and disgust through my entire being.,appalled
The very thought of that fills me with an intense desire to avoid it at all costs.,detest
His shifting eyes and fidgeting hands betrayed his unease in the awkward silence.,uncomfortable
It seems that some people have chosen a rather questionable path in this situation.,judgemental
The mere thought of it leaves a bitter taste in my mouth.,loathing
I tend to steer clear of that particular situation.,avoiding
"Her carefully laid plans unravelled like a tangled thread, leaving trails of uncertainty and erased intentions.",crossed out
The feeling I experienced was like a heavy weight dragging me down into a deep pit of despair.,awful
I cannot believe the blatant disregard for fairness and decency displayed in that decision.,outraged
"The pungent stench wafted from the garbage can, making my stomach churn.",disgust
The sight of it caused an immediate urge to turn away and retreat hastily.,repelled
"I find myself pausing, unsure of how to proceed.",hesitant
"The rancid smell wafted into her nostrils, causing her stomach to churn uneasily.",nauseated
The sight before me left my stomach churning and my heart heavy.,appalled
The mere thought of that person's presence makes my skin crawl.,detest
I feel an overpowering sense of restlessness and unease in this situation.,uncomfortable
"They always seem to make the same mistakes, I wonder if they ever learn.",judgemental
"Every time their voice filled the room, a sour taste lingered in the air, leaving a trail of distaste in its wake.",loathing
I tend to steer clear of that particular situation.,avoiding
"I thought we had plans to meet today, but now it seems like they've been erased by uncertainty.",crossed out
"The feeling clutched at her heart, filling every corner with a sense of dread.",awful
I cannot believe the blatant disregard for basic decency and respect displayed in that situation.,outraged
The sight and smell made me want to cover my nose and look away.,disgust
"The sight of the slimy creature made her instinctively step back, a shiver running down her spine.",repelled
"There is a lingering uncertainty in my mind, making it challenging to make a firm decision.",hesitant
The sight and smell of the rotting food left me feeling utterly disgusted and queasy.,nauseated
The sight before me left my stomach churning with disbelief and disappointment.,appalled
The mere thought of her presence fills me with an overwhelming sense of disdain.,detest
"The stifling silence in the room weighed heavily on their shoulders, leaving them squirming in their seats.",uncomfortable
It's fascinating how some people seem to make the same mistakes over and over again.,judgemental
The mere thought of that person's presence fills me with an overwhelming sense of repulsion.,loathing
"""I tend to steer clear of those situations whenever possible.""",avoiding
"Her plans were meticulously laid out, but life had other ideas and scribbled over them with chaotic strokes.",crossed out
"The weight of despair settled heavily upon her heart, suffocating any flicker of hope.",awful
I cannot believe such blatant disregard for fairness and justice!,outraged
The putrid stench made my stomach churn and my skin crawl.,disgust
The sight and smell of the decaying pile of garbage made her quickly turn away in disgust.,repelled
"She took a step back, uncertain of what the next move should be.",hesitant
The pungent smell mixed with the overpowering sight made my stomach churn uncomfortably.,nauseated
The sight before me left my stomach churning and my heart heavy with disbelief.,appalled
The mere thought of it curdles my mood and twists my thoughts into knots.,detest
"The heavy silence between them was suffocating, filling the room with tension and unease.",uncomfortable
I can't believe someone would make such a decision without considering the consequences.,judgemental
"Every time I think about the muddy taste of overcooked spinach, my stomach turns with revulsion.",loathing
She always found excuses to change the subject whenever it came up in conversation.,avoiding
"She had big plans for the weekend, but they all fell to the wayside as unforeseen circumstances took over.",crossed out
"The sinking feeling weighed heavily in my chest, casting a shadow over every thought.",awful
I am utterly appalled by such blatant disregard for common decency!,outraged
"The foul stench in the room wafted up my nostrils, making me want to flee.",disgust
"The sight of the decaying garbage made her take a step back, wrinkling her nose in distaste.",repelled
I find myself wavering on whether to proceed or hold back.,hesitant
The sight and smell of the decaying food made my stomach turn uncomfortably.,nauseated
The sight before me left my stomach churning and my heart heavy with dismay.,appalled
The mere thought of it sends a shiver down my spine.,detest
"The air in the room felt stifling and heavy, making everyone fidget and shift in their seats.",uncomfortable
I can't believe someone would make such a thoughtless decision like that.,judgemental
The mere thought of that individual sends shivers of disgust down my spine.,loathing
She went out of her way to circumvent any interactions with him.,avoiding
"Her carefully laid plans were suddenly rendered useless, like a bold stroke of pen crossing out all her efforts.",crossed out
"The sight of the abandoned, dilapidated house sent shivers down his spine and left a heavy feeling in the pit of his stomach.",awful
I can't believe such injustice was allowed to happen without consequence!,outraged
"The putrid stench lingered in the air, making my stomach turn with revulsion.",disgust
"The sight made her quickly retreat, a shiver running down her spine.",repelled
I'm not entirely sure if I'm ready to commit to this decision just yet.,hesitant
"The noxious smell filled the air, causing a queasy sensation in the pit of my stomach.",nauseated
The sight left my stomach churning and my hands trembling in disbelief.,appalled
"Every time I think about it, my whole being is filled with a burning desire to be as far away from it as possible.",detest
The stifling silence in the room made everyone shift in their seats.,uncomfortable
I suppose some people just can't be bothered to put in the effort to do things properly.,judgemental
The mere thought of interacting with that individual fills me with an intense sense of revulsion.,loathing
She consistently found reasons to change her plans whenever he suggested meeting up.,avoiding
Her excitement at receiving the promotion transformed into disappointment as she read the fine print.,crossed out
"The situation filled my heart with a heavy, suffocating despair.",awful
"I cannot believe the audacity and injustice of such behavior, it is beyond unacceptable.",outraged
"The putrid stench wafted from the overflowing garbage can, making my stomach turn.",disgust
The sight of the decaying food in the fridge made her quickly shut the door with a shudder.,repelled
I'm not entirely sure if I'm ready to commit to this decision just yet.,hesitant
The smell of the rotten food made my stomach churn and my head swim with disgust.,nauseated
